unidade_norm,unidade_original,classificacao,quantidade_magistrados,quantidade,percentual_total,diferenca_absoluta_media,diferenca_percentual_media,processos_por_magistrado,diferenca_absoluta_media_magistrado,diferenca_percentual_media_magistrado,cenario
1 VARA DO TRABALHO DE CHAPECO,1ª VARA DO TRABALHO DE CHAPECÓ,CEDENTE,1.0,236,2.0573620434138262,44.81666666666666,23.441722604829568,236.0,122.42574257425743,107.79356638479645,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE CRICIUMA,1ª VARA DO TRABALHO DE CRICIÚMA,NEUTRA,2.0,260,2.2665853020660798,68.81666666666666,35.99511812396477,130.0,16.425742574257427,14.462557754337023,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE FLORIANOPOLIS,1ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,1.0,117,1.019963385929736,-74.18333333333334,-38.80219684421585,117.0,3.425742574257427,3.0163019789033227,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE ITAJAI,1ª VARA DO TRABALHO DE ITAJAÍ,NEUTRA,2.0,189,1.6476331618864963,-2.183333333333337,-1.142010286810219,94.5,-19.074257425742573,-16.794525324731932,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE JARAGUA DO SUL,1ª VARA DO TRABALHO DE JARAGUÁ DO SUL,NEUTRA,2.0,150,1.3076453665765844,-41.18333333333334,-21.541278005404934,75.0,-38.57425742574257,-33.96390898788248,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE JOINVILLE,1ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,270,2.353761659837852,78.81666666666666,41.22569959027111,135.0,21.425742574257427,18.864963821811525,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE LAGES,1ª VARA DO TRABALHO DE LAGES,DESTINATARIA,1.0,85,0.7409990410600645,-106.18333333333334,-55.54005753639613,85.0,-28.574257425742573,-25.159096852933484,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE RIO DO SUL,1ª VARA DO TRABALHO DE RIO DO SUL,NEUTRA,2.0,188,1.6389155261093191,-3.183333333333337,-1.6650684334408528,94.0,-19.574257425742573,-17.23476593147938,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE TUBARAO,1ª VARA DO TRABALHO DE TUBARÃO,DESTINATARIA,2.0,158,1.3773864527940023,-33.18333333333334,-17.356812832359868,79.0,-34.57425742574257,-30.44198413390288,SEM_EQUALIZACAO
1 VARA DO TRABALHO SAO JOSE,1ª VARA DO TRABALHO SÃO JOSÉ,NEUTRA,2.0,220,1.9178798709789904,28.816666666666663,15.072792258739428,110.0,-3.574257425742573,-3.147066515560979,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE BALNEARIO CAMBORIU,2ª VARA DO TRABALHO DE BALNEÁRIO CAMBORIÚ,NEUTRA,2.0,221,1.9265975067561676,29.816666666666663,15.595850405370063,110.5,-3.074257425742573,-2.7068259088135287,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE BLUMENAU,2ª VARA DO TRABALHO DE BLUMENAU,DESTINATARIA,2.0,159,1.3861040885711795,-32.18333333333334,-16.833754685729232,79.5,-34.07425742574257,-30.001743527155433,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE BRUSQUE,2ª VARA DO TRABALHO DE BRUSQUE,DESTINATARIA,1.0,141,1.2291866445819895,-50.18333333333334,-26.24880132508064,141.0,27.425742574257427,24.147851102780926,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE CHAPECO,2ª VARA DO TRABALHO DE CHAPECÓ,CEDENTE,1.0,170,1.481998082120129,-21.183333333333337,-11.08011507279226,170.0,56.42574257425743,49.68180629413303,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE CRICIUMA,2ª VARA DO TRABALHO DE CRICIÚMA,NEUTRA,2.0,153,1.333798273908116,-38.18333333333334,-19.972103565513034,76.5,-37.07425742574257,-32.643187167640136,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE FLORIANOPOLIS,2ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,2.0,197,1.717374248103914,5.816666666666663,3.042454886234851,98.5,-15.074257425742573,-13.27260047075233,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE ITAJAI,2ª VARA DO TRABALHO DE ITAJAÍ,NEUTRA,2.0,272,2.3711969313922063,80.81666666666666,42.27181588353238,136.0,22.425742574257427,19.745445035306428,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE JARAGUA DO SUL,2ª VARA DO TRABALHO DE JARAGUÁ DO SUL,NEUTRA,2.0,154,1.3425159096852932,-37.18333333333334,-19.449045418882402,77.0,-36.57425742574257,-32.202946560892684,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE JOINVILLE,2ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,264,2.3014558451747886,72.81666666666666,38.087350710487314,132.0,18.425742574257427,16.223520181326826,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE LAGES,2ª VARA DO TRABALHO DE LAGES,DESTINATARIA,2.0,91,0.7933048557231278,-100.18333333333334,-52.40170865661232,45.5,-68.07425742574257,-59.93810478598204,SEM_EQUALIZACAO
